Kepler18d,Kepler-18,1259850322,220,298.079439,44.746321,14.85888,0.003265,13.549,Kepler-18 d
Kepler21b,Kepler-21,1400642842,215,287.361816,38.714016,2.78578,6.22E-05,8.25,Kepler-21 b
Kepler31b,Kepler-31,1244551997,299,294.023014,45.853081,20.8613,0.001895,15.237,Kepler-31 b
Kepler31c,Kepler-31,1242999259,361,294.023014,45.853081,42.6318,0.001729,15.237,Kepler-31 c
Kepler31d,Kepler-31,1242455328,495,294.023014,45.853081,87.6451,0.000959,15.237,Kepler-31 d
Kepler32b,Kepler-32,1243067731,126,297.842398,46.574281,5.90124,0.00165,16.452,Kepler-32 b
Kepler32c,Kepler-32,1243281269,139,297.842398,46.574281,8.7522,0.001453,16.452,Kepler-32 c
Kepler32d,Kepler-32,1244216074,178,297.842398,46.574281,22.7802,0.002181,16.452,Kepler-32 d
Kepler32e,Kepler-32,1242352814,76,297.842398,46.574281,2.896,0.000671,16.452,Kepler-32 e
Kepler32f,Kepler-32,1242260971,56,297.842398,46.574281,0.74296,0.000224,16.452,Kepler-32 f
Kepler33b,Kepler-33,1242198413,292,289.077548,46.005222,5.66793,8.68E-05,13.988,Kepler-33 b
Kepler33c,Kepler-33,1243212780,402,289.077548,46.005222,13.17562,0.0002977,13.988,Kepler-33 c
Kepler33d,Kepler-33,1247181175,480,289.077548,46.005222,21.77596,0.0008314,13.988,Kepler-33 d
Kepler33e,Kepler-33,1242534479,533,289.077548,46.005222,31.7844,0.000467,13.988,Kepler-33 e
Kepler33f,Kepler-33,1245704024,592,289.077548,46.005222,41.02902,0.000579,13.988,Kepler-33 f
Kepler411b,Kepler-411,1242652912,132,287.605582,49.523262,3.00516,0.00069,12.231,Kepler-411 b
Kepler423b,Kepler-423,1242328157,163,292.855742,46.391178,2.6843285,0.015872,14.29,Kepler-423 b
Kepler452b,Kepler-452,1258006770,637,296.003688,44.277561,384.843,0.000199,13.426,Kepler-452 b
Kepler50b,Kepler-50,1243019248,227,288.100873,50.033718,7.81254,9.90E-05,10.421,Kepler-50 b
Kepler50c,Kepler-50,1242640665,123,288.100873,50.033718,9.37647,0.000159,10.421,Kepler-50 c
Kepler62b,Kepler-62,1245574433,138,283.212747,45.349865,5.714932,0.00043,13.725,Kepler-62 b
Kepler62c,Kepler-62,1242439612,181,283.212747,45.349865,12.4417,7.00E-05,13.725,Kepler-62 c
Kepler62d,Kepler-62,1246427983,178,283.212747,45.349865,18.16406,0.00092,13.725,Kepler-62 d
Kepler62e,Kepler-62,1243793651,415,283.212747,45.349865,122.3874,0.0007,13.725,Kepler-62 e
Kepler62f,Kepler-62,1281748717,447,283.212747,45.349865,267.291,0.00042,13.725,Kepler-62 f
Kepler65b,Kepler-65,1242339975,184,288.6887,41.151173,2.15491,8.50E-05,11.018,Kepler-65 b
Kepler65c,Kepler-65,1242212306,235,288.6887,41.151173,5.859944,0.000282,11.018,Kepler-65 c
Kepler65d,Kepler-65,1242726201,245,288.6887,41.151173,8.13123,9.80E-05,11.018,Kepler-65 d
Kepler77b,Kepler-77,1253517518,176,289.607956,44.345425,3.57878087,0.009849,13.938,Kepler-77 b
NGTS3Ab,NGTS-3 A,1471618367,137,94.444794,-35.706394,1.6753728,0.0268,14.642,NGTS-3 A b
PH2b,PH2,1262161626,630,289.76359,51.962601,282.5255,0.009882,12.62,PH2 b
Qatar1b,Qatar-1,1351863528,99,303.381672,65.162041,1.4200242,0.0214,12.843,Qatar-1 b
Qatar3b,Qatar-3,1444166341,186,359.152008,36.212971,2.5079204,0.00789,12.88,Qatar-3 b
Qatar4b,Qatar-4,1473139791,128,4.859266,44.027641,1.8053564,0.01902,13.6,Qatar-4 b
Qatar5b,Qatar-5,1447130676,174,7.053898,42.061333,2.8792319,0.01126,12.82,Qatar-5 b
TRAPPIST1b,TRAPPIST-1,1445904408,36,346.622013,-5.041274,1.51087081,0.007266,18.8,TRAPPIST-1 b
